date_scraped;name;location;price;currency;rating;checkin_date;checkout_date
2024_05_31;Avani Frankfurt City Hotel - previously NH Collection Frankfurt City;Frankfurt City Center (Old Town), Frankfurt;112.0;EUR;8.3;2024-07-26;2024-07-27
2024_05_31;Best Western Plus Welcome Hotel Frankfurt;Bockenheim, Frankfurt;68.0;EUR;8.0;2024-07-26;2024-07-27
2024_05_31;Citadines City Centre Frankfurt;Gallusviertel, Frankfurt;85.0;EUR;8.6;2024-07-26;2024-07-27
2024_05_31;Comfort Hotel Frankfurt Central Station;Bahnhofsviertel, Frankfurt;56.0;EUR;7.0;2024-07-26;2024-07-27
2024_05_31;Europa Style;Gutleutviertel, Frankfurt;109.0;EUR;8.4;2024-07-26;2024-07-27
2024_05_31;Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;102.0;EUR;8.0;2024-07-26;2024-07-27
2024_05_31;Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;149.0;EUR;8.3;2024-07-26;2024-07-27
2024_05_31;Hilton Garden Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;99.0;EUR;7.9;2024-07-26;2024-07-27
2024_05_31;Hotel Europa Life;Gutleutviertel, Frankfurt;78.0;EUR;8.3;2024-07-26;2024-07-27
2024_05_31;INNSiDE by Meliá Frankfurt Eurotheum;Frankfurt City Center (Old Town), Frankfurt;177.0;EUR;7.9;2024-07-26;2024-07-27
2024_05_31;LUME Boutique Hotel, Autograph Collection;Bahnhofsviertel, Frankfurt;118.0;EUR;8.6;2024-07-26;2024-07-27
2024_05_31;MOXY Frankfurt East;Ostend, Frankfurt;71.0;EUR;8.2;2024-07-26;2024-07-27
2024_05_31;Maritim Hotel Frankfurt;Westend, Frankfurt;87.0;EUR;7.7;2024-07-26;2024-07-27
2024_05_31;Meliá Frankfurt City;Westend, Frankfurt;152.0;EUR;8.5;2024-07-26;2024-07-27
2024_05_31;Motel One Frankfurt Airport;Niederrad, Frankfurt;73.0;EUR;8.3;2024-07-26;2024-07-27
2024_05_31;Motel One Frankfurt Messe;Gallusviertel, Frankfurt;93.0;EUR;8.5;2024-07-26;2024-07-27
2024_05_31;Moxy Frankfurt City Center;Frankfurt City Center (Old Town), Frankfurt;111.0;EUR;8.1;2024-07-26;2024-07-27
2024_05_31;NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;118.0;EUR;8.7;2024-07-26;2024-07-27
2024_05_31;Park Inn by Radisson Frankfurt Airport;Frankfurt Airport Area, Frankfurt;106.0;EUR;8.0;2024-07-26;2024-07-27
2024_05_31;Pearl Design Hotel - Frankfurt City;Gutleutviertel, Frankfurt;72.0;EUR;7.6;2024-07-26;2024-07-27
2024_05_31;Premier Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;72.0;EUR;8.4;2024-07-26;2024-07-27
2024_05_31;Premier Inn Frankfurt Westend;Westend, Frankfurt;70.0;EUR;8.7;2024-07-26;2024-07-27
2024_05_31;Scandic Frankfurt Museumsufer;Bahnhofsviertel, Frankfurt;108.0;EUR;8.5;2024-07-26;2024-07-27
2024_05_31;Sheraton Frankfurt Airport Hotel & Conference Center;Frankfurt Airport Area, Frankfurt;144.0;EUR;8.0;2024-07-26;2024-07-27
2024_05_31;Villa Westend Hotel an der Messe;Westend, Frankfurt;91.0;EUR;7.9;2024-07-26;2024-07-27
2024_05_31;the niu Charly;Bahnhofsviertel, Frankfurt;86.0;EUR;8.2;2024-07-26;2024-07-27
