name;location;price;currency;rating;checkin_date;checkout_date
Adler Hotel Frankfurt;Bahnhofsviertel, Frankfurt;73.0;EUR;7.9;2024-07-28;2024-07-29
Best Western Plus Welcome Hotel Frankfurt;Bockenheim, Frankfurt;68.0;EUR;8.0;2024-07-28;2024-07-29
Citadines City Centre Frankfurt;Gallusviertel, Frankfurt;85.0;EUR;8.6;2024-07-28;2024-07-29
Comfort Hotel Frankfurt Central Station;Bahnhofsviertel, Frankfurt;56.0;EUR;7.0;2024-07-28;2024-07-29
Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;147.0;EUR;8.3;2024-07-28;2024-07-29
Hampton by Hilton Frankfurt City Centre;Gallusviertel, Frankfurt;80.0;EUR;8.3;2024-07-28;2024-07-29
Holiday Inn Frankfurt Airport, an IHG Hotel;Frankfurt Airport Area, Frankfurt;93.0;EUR;8.1;2024-07-28;2024-07-29
Hotel Düsseldorfer Hof;Frankfurt;48.0;EUR;6.7;2024-07-28;2024-07-29
Hotel Europa Life;Gutleutviertel, Frankfurt;74.0;EUR;8.3;2024-07-28;2024-07-29
Hyatt Place Frankfurt Airport;Frankfurt Airport Area, Frankfurt;86.0;EUR;8.4;2024-07-28;2024-07-29
INNSiDE by Meliá Frankfurt Eurotheum;Frankfurt City Center (Old Town), Frankfurt;143.0;EUR;7.9;2024-07-28;2024-07-29
Leonardo Hotel Frankfurt City Center;Bahnhofsviertel, Frankfurt;61.0;EUR;7.6;2024-07-28;2024-07-29
MOXY Frankfurt East;Ostend, Frankfurt;71.0;EUR;8.2;2024-07-28;2024-07-29
Maritim Hotel Frankfurt;Westend, Frankfurt;79.0;EUR;7.7;2024-07-28;2024-07-29
Meliá Frankfurt City;Westend, Frankfurt;130.0;EUR;8.5;2024-07-28;2024-07-29
NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;118.0;EUR;8.7;2024-07-28;2024-07-29
Panorama Hostel;Gallusviertel, Frankfurt;37.0;EUR;6.2;2024-07-28;2024-07-29
Park Inn by Radisson Frankfurt Airport;Frankfurt Airport Area, Frankfurt;89.0;EUR;8.0;2024-07-28;2024-07-29
Premier Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;59.0;EUR;8.4;2024-07-28;2024-07-29
Premier Inn Frankfurt City Europaviertel;Gallusviertel, Frankfurt;60.0;EUR;8.2;2024-07-28;2024-07-29
Premier Inn Frankfurt Westend;Westend, Frankfurt;60.0;EUR;8.7;2024-07-28;2024-07-29
Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;105.0;EUR;8.2;2024-07-28;2024-07-29
Scandic Frankfurt Museumsufer;Bahnhofsviertel, Frankfurt;95.0;EUR;8.5;2024-07-28;2024-07-29
Sheraton Frankfurt Airport Hotel & Conference Center;Frankfurt Airport Area, Frankfurt;130.0;EUR;8.0;2024-07-28;2024-07-29
Staycity Aparthotels Frankfurt Airport;Frankfurt Airport Area, Frankfurt;85.0;EUR;8.6;2024-07-28;2024-07-29
the niu Charly;Bahnhofsviertel, Frankfurt;65.0;EUR;8.2;2024-07-28;2024-07-29
