date_scraped;name;location;price;currency;rating;checkin_date;checkout_date
2024_05_31;Avani Frankfurt City Hotel - previously NH Collection Frankfurt City;Frankfurt City Center (Old Town), Frankfurt;134.0;EUR;8.3;2024-07-13;2024-07-14
2024_05_31;Frankfurt Marriott Hotel;Westend, Frankfurt;131.0;EUR;8.3;2024-07-13;2024-07-14
2024_05_31;Hilton Frankfurt City Centre;Frankfurt City Center (Old Town), Frankfurt;170.0;EUR;8.3;2024-07-13;2024-07-14
2024_05_31;Hotel Düsseldorfer Hof;Frankfurt;57.0;EUR;6.7;2024-07-13;2024-07-14
2024_05_31;Hotel Gerbermühle;Frankfurt;184.0;EUR;8.5;2024-07-13;2024-07-14
2024_05_31;Hotel Liebig;Westend, Frankfurt;159.0;EUR;8.5;2024-07-13;2024-07-14
2024_05_31;INNSiDE by Meliá Frankfurt Eurotheum;Frankfurt City Center (Old Town), Frankfurt;158.0;EUR;7.9;2024-07-13;2024-07-14
2024_05_31;Lindley Lindenberg;Ostend, Frankfurt;126.0;EUR;8.3;2024-07-13;2024-07-14
2024_05_31;MOXY Frankfurt East;Ostend, Frankfurt;88.0;EUR;8.2;2024-07-13;2024-07-14
2024_05_31;Maritim Hotel Frankfurt;Westend, Frankfurt;87.0;EUR;7.7;2024-07-13;2024-07-14
2024_05_31;Meliá Frankfurt City;Westend, Frankfurt;139.0;EUR;8.5;2024-07-13;2024-07-14
2024_05_31;Motel Frankfurt;Nordend, Frankfurt;75.0;EUR;7.8;2024-07-13;2024-07-14
2024_05_31;Motel One Frankfurt Messe;Gallusviertel, Frankfurt;93.0;EUR;8.5;2024-07-13;2024-07-14
2024_05_31;Motel One Frankfurt-Eastside;Ostend, Frankfurt;83.0;EUR;8.4;2024-07-13;2024-07-14
2024_05_31;Motel One Frankfurt-Römer;Frankfurt City Center (Old Town), Frankfurt;173.0;EUR;8.5;2024-07-13;2024-07-14
2024_05_31;Moxy Frankfurt City Center;Frankfurt City Center (Old Town), Frankfurt;138.0;EUR;8.1;2024-07-13;2024-07-14
2024_05_31;Munique Hotel Frankfurt City;Bahnhofsviertel, Frankfurt;95.0;EUR;5.3;2024-07-13;2024-07-14
2024_05_31;NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;139.0;EUR;8.7;2024-07-13;2024-07-14
2024_05_31;Novum Hotel Imperial Frankfurt Messe;Bockenheim, Frankfurt;97.0;EUR;7.2;2024-07-13;2024-07-14
2024_05_31;Premier Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;97.0;EUR;8.4;2024-07-13;2024-07-14
2024_05_31;Premier Inn Frankfurt City Europaviertel;Gallusviertel, Frankfurt;97.0;EUR;8.2;2024-07-13;2024-07-14
2024_05_31;Premier Inn Frankfurt Westend;Westend, Frankfurt;86.0;EUR;8.7;2024-07-13;2024-07-14
2024_05_31;Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;119.0;EUR;8.2;2024-07-13;2024-07-14
2024_05_31;Villa Hotel Frankfurt by MZ HotelCollection;Westend, Frankfurt;130.0;EUR;8.2;2024-07-13;2024-07-14
2024_05_31;Villa Westend Hotel an der Messe;Westend, Frankfurt;127.0;EUR;7.9;2024-07-13;2024-07-14
2024_05_31;ibis budget Frankfurt City Ost;Ostend, Frankfurt;73.0;EUR;7.5;2024-07-13;2024-07-14
