name;location;price;currency;rating;checkin_date;checkout_date
Best Western Plus Welcome Hotel Frankfurt;Bockenheim, Frankfurt;72.0;EUR;8.0;2024-07-22;2024-07-23
Citadines City Centre Frankfurt;Gallusviertel, Frankfurt;85.0;EUR;8.6;2024-07-22;2024-07-23
Comfort Hotel Frankfurt Central Station;Bahnhofsviertel, Frankfurt;56.0;EUR;7.0;2024-07-22;2024-07-23
DORMERO Hotel Frankfurt;Gallusviertel, Frankfurt;60.0;EUR;7.6;2024-07-22;2024-07-23
Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;111.0;EUR;8.0;2024-07-22;2024-07-23
Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;147.0;EUR;8.3;2024-07-22;2024-07-23
Hampton By Hilton Frankfurt City Centre East;Ostend, Frankfurt;91.0;EUR;8.4;2024-07-22;2024-07-23
Hampton by Hilton Frankfurt City Centre;Gallusviertel, Frankfurt;84.0;EUR;8.3;2024-07-22;2024-07-23
Hotel Düsseldorfer Hof;Frankfurt;48.0;EUR;6.7;2024-07-22;2024-07-23
Hotel Europa Life;Gutleutviertel, Frankfurt;78.0;EUR;8.3;2024-07-22;2024-07-23
Hyatt Place Frankfurt Airport;Frankfurt Airport Area, Frankfurt;102.0;EUR;8.4;2024-07-22;2024-07-23
INNSiDE by Meliá Frankfurt Eurotheum;Frankfurt City Center (Old Town), Frankfurt;144.0;EUR;7.9;2024-07-22;2024-07-23
Leonardo Hotel Frankfurt City Center;Bahnhofsviertel, Frankfurt;58.0;EUR;7.6;2024-07-22;2024-07-23
Meliá Frankfurt City;Westend, Frankfurt;130.0;EUR;8.5;2024-07-22;2024-07-23
NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;118.0;EUR;8.7;2024-07-22;2024-07-23
Panorama Hostel;Gallusviertel, Frankfurt;37.0;EUR;6.2;2024-07-22;2024-07-23
Park Inn by Radisson Frankfurt Airport;Frankfurt Airport Area, Frankfurt;96.0;EUR;8.0;2024-07-22;2024-07-23
Pearl Design Hotel - Frankfurt City;Gutleutviertel, Frankfurt;73.0;EUR;7.6;2024-07-22;2024-07-23
Premier Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;63.0;EUR;8.4;2024-07-22;2024-07-23
Premier Inn Frankfurt City Europaviertel;Gallusviertel, Frankfurt;61.0;EUR;8.2;2024-07-22;2024-07-23
Premier Inn Frankfurt Westend;Westend, Frankfurt;60.0;EUR;8.7;2024-07-22;2024-07-23
Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;114.0;EUR;8.2;2024-07-22;2024-07-23
Scandic Frankfurt Museumsufer;Bahnhofsviertel, Frankfurt;99.0;EUR;8.5;2024-07-22;2024-07-23
Staycity Aparthotels Frankfurt Airport;Frankfurt Airport Area, Frankfurt;89.0;EUR;8.6;2024-07-22;2024-07-23
Villa Westend Hotel an der Messe;Westend, Frankfurt;98.0;EUR;7.9;2024-07-22;2024-07-23
the niu Charly;Bahnhofsviertel, Frankfurt;70.0;EUR;8.2;2024-07-22;2024-07-23
