date_scraped;name;location;price;currency;rating;checkin_date;checkout_date
2024_05_31;Adler Hotel Frankfurt;Bahnhofsviertel, Frankfurt;76.0;EUR;7.9;2024-07-25;2024-07-26
2024_05_31;Best Western Hotel Airport Frankfurt;Frankfurt Airport Area, Frankfurt;79.0;EUR;8.5;2024-07-25;2024-07-26
2024_05_31;Best Western Plus Welcome Hotel Frankfurt;Bockenheim, Frankfurt;72.0;EUR;8.0;2024-07-25;2024-07-26
2024_05_31;Comfort Hotel Frankfurt Central Station;Bahnhofsviertel, Frankfurt;56.0;EUR;7.0;2024-07-25;2024-07-26
2024_05_31;Hilton Garden Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;95.0;EUR;7.9;2024-07-25;2024-07-26
2024_05_31;Homaris Apartments Frankfurt - Digital Check-In;Frankfurt City Center (Old Town), Frankfurt;85.0;EUR;8.1;2024-07-25;2024-07-26
2024_05_31;Hotel Attaché an der Messe;Gallusviertel, Frankfurt;64.0;EUR;7.3;2024-07-25;2024-07-26
2024_05_31;Hotel Cristall - Frankfurt City;Gallusviertel, Frankfurt;81.0;EUR;8.2;2024-07-25;2024-07-26
2024_05_31;Hotel Düsseldorfer Hof;Frankfurt;48.0;EUR;6.7;2024-07-25;2024-07-26
2024_05_31;Hotel Europa Life;Gutleutviertel, Frankfurt;78.0;EUR;8.3;2024-07-25;2024-07-26
2024_05_31;Hotel Mondial Comfort - Frankfurt City Centre;Nordend, Frankfurt;79.0;EUR;7.8;2024-07-25;2024-07-26
2024_05_31;Hotel Rossija;Bahnhofsviertel, Frankfurt;49.0;EUR;4.4;2024-07-25;2024-07-26
2024_05_31;Hyatt Place Frankfurt Airport;Frankfurt Airport Area, Frankfurt;98.0;EUR;8.4;2024-07-25;2024-07-26
2024_05_31;INNSiDE by Meliá Frankfurt Eurotheum;Frankfurt City Center (Old Town), Frankfurt;137.0;EUR;7.9;2024-07-25;2024-07-26
2024_05_31;Leonardo Hotel Frankfurt City Center;Bahnhofsviertel, Frankfurt;58.0;EUR;7.6;2024-07-25;2024-07-26
2024_05_31;MEININGER Hotel Frankfurt Main / Airport;Frankfurt Airport Area, Frankfurt;80.0;EUR;7.6;2024-07-25;2024-07-26
2024_05_31;Manhattan Hotel;Bahnhofsviertel, Frankfurt;69.0;EUR;7.3;2024-07-25;2024-07-26
2024_05_31;Motel One Frankfurt-Römer;Frankfurt City Center (Old Town), Frankfurt;133.0;EUR;8.5;2024-07-25;2024-07-26
2024_05_31;Munique Hotel Frankfurt City;Bahnhofsviertel, Frankfurt;69.0;EUR;5.3;2024-07-25;2024-07-26
2024_05_31;Panorama Hostel;Gallusviertel, Frankfurt;37.0;EUR;6.2;2024-07-25;2024-07-26
2024_05_31;Premier Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;62.0;EUR;8.4;2024-07-25;2024-07-26
2024_05_31;Premier Inn Frankfurt City Europaviertel;Gallusviertel, Frankfurt;60.0;EUR;8.2;2024-07-25;2024-07-26
2024_05_31;Premier Inn Frankfurt Westend;Westend, Frankfurt;61.0;EUR;8.7;2024-07-25;2024-07-26
2024_05_31;Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;114.0;EUR;8.2;2024-07-25;2024-07-26
2024_05_31;The Domicil Hotel Frankfurt City;Bahnhofsviertel, Frankfurt;67.0;EUR;7.1;2024-07-25;2024-07-26
2024_05_31;the niu Charly;Bahnhofsviertel, Frankfurt;70.0;EUR;8.2;2024-07-25;2024-07-26
