date_scraped;name;location;price;currency;rating;checkin_date;checkout_date
2024_05_31;Avani Frankfurt City Hotel - previously NH Collection Frankfurt City;Frankfurt City Center (Old Town), Frankfurt;119.0;EUR;8.3;2024-07-08;2024-07-09
2024_05_31;DORMERO Hotel Frankfurt;Gallusviertel, Frankfurt;59.0;EUR;7.6;2024-07-08;2024-07-09
2024_05_31;Europa Style;Gutleutviertel, Frankfurt;109.0;EUR;8.4;2024-07-08;2024-07-09
2024_05_31;Five Elements Hostel Frankfurt;Bahnhofsviertel, Frankfurt;46.0;EUR;7.2;2024-07-08;2024-07-09
2024_05_31;Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;107.0;EUR;8.0;2024-07-08;2024-07-09
2024_05_31;Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;177.0;EUR;8.3;2024-07-08;2024-07-09
2024_05_31;Hilton Garden Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;119.0;EUR;7.9;2024-07-08;2024-07-09
2024_05_31;Hotel Europa Life;Gutleutviertel, Frankfurt;103.0;EUR;8.3;2024-07-08;2024-07-09
2024_05_31;Hotel Monopol - Central Station;Gutleutviertel, Frankfurt;86.0;EUR;7.3;2024-07-08;2024-07-09
2024_05_31;INNSiDE by Meliá Frankfurt Eurotheum;Frankfurt City Center (Old Town), Frankfurt;144.0;EUR;7.9;2024-07-08;2024-07-09
2024_05_31;Leonardo Hotel Frankfurt City Center;Bahnhofsviertel, Frankfurt;63.0;EUR;7.6;2024-07-08;2024-07-09
2024_05_31;Leonardo Royal Hotel Frankfurt;Sachsenhausen, Frankfurt;72.0;EUR;7.5;2024-07-08;2024-07-09
2024_05_31;Lindley Lindenberg;Ostend, Frankfurt;106.0;EUR;8.3;2024-07-08;2024-07-09
2024_05_31;Manhattan Hotel;Bahnhofsviertel, Frankfurt;69.0;EUR;7.3;2024-07-08;2024-07-09
2024_05_31;Meliá Frankfurt City;Westend, Frankfurt;140.0;EUR;8.5;2024-07-08;2024-07-09
2024_05_31;Munique Hotel Frankfurt City;Bahnhofsviertel, Frankfurt;64.0;EUR;5.3;2024-07-08;2024-07-09
2024_05_31;NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;134.0;EUR;8.7;2024-07-08;2024-07-09
2024_05_31;Park Inn by Radisson Frankfurt Airport;Frankfurt Airport Area, Frankfurt;111.0;EUR;8.0;2024-07-08;2024-07-09
2024_05_31;Premier Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;63.0;EUR;8.4;2024-07-08;2024-07-09
2024_05_31;Premier Inn Frankfurt City Europaviertel;Gallusviertel, Frankfurt;63.0;EUR;8.2;2024-07-08;2024-07-09
2024_05_31;Premier Inn Frankfurt Westend;Westend, Frankfurt;64.0;EUR;8.7;2024-07-08;2024-07-09
2024_05_31;Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;131.0;EUR;8.2;2024-07-08;2024-07-09
2024_05_31;Scandic Frankfurt Museumsufer;Bahnhofsviertel, Frankfurt;106.0;EUR;8.5;2024-07-08;2024-07-09
2024_05_31;The Domicil Hotel Frankfurt City;Bahnhofsviertel, Frankfurt;64.0;EUR;7.1;2024-07-08;2024-07-09
2024_05_31;Villa Westend Hotel an der Messe;Westend, Frankfurt;91.0;EUR;7.9;2024-07-08;2024-07-09
2024_05_31;the niu Charly;Bahnhofsviertel, Frankfurt;74.0;EUR;8.2;2024-07-08;2024-07-09
