name;location;price;currency;rating;checkin_date;checkout_date
Adler Hotel Frankfurt;Bahnhofsviertel, Frankfurt;70.0;EUR;7.9;2024-07-20;2024-07-21
Avani Frankfurt City Hotel - previously NH Collection Frankfurt City;Frankfurt City Center (Old Town), Frankfurt;109.0;EUR;8.3;2024-07-20;2024-07-21
Best Western Plus Welcome Hotel Frankfurt;Bockenheim, Frankfurt;68.0;EUR;8.0;2024-07-20;2024-07-21
Citadines City Centre Frankfurt;Gallusviertel, Frankfurt;85.0;EUR;8.6;2024-07-20;2024-07-21
DORMERO Hotel Frankfurt;Gallusviertel, Frankfurt;60.0;EUR;7.6;2024-07-20;2024-07-21
Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;100.0;EUR;8.0;2024-07-20;2024-07-21
Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;147.0;EUR;8.3;2024-07-20;2024-07-21
Hampton By Hilton Frankfurt Airport;Frankfurt Airport Area, Frankfurt;102.0;EUR;8.3;2024-07-20;2024-07-21
Hampton by Hilton Frankfurt City Centre;Gallusviertel, Frankfurt;102.0;EUR;8.3;2024-07-20;2024-07-21
Hilton Garden Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;99.0;EUR;7.9;2024-07-20;2024-07-21
Hotel Düsseldorfer Hof;Frankfurt;48.0;EUR;6.7;2024-07-20;2024-07-21
Hyatt Place Frankfurt Airport;Frankfurt Airport Area, Frankfurt;93.0;EUR;8.4;2024-07-20;2024-07-21
INNSiDE by Meliá Frankfurt Eurotheum;Frankfurt City Center (Old Town), Frankfurt;122.0;EUR;7.9;2024-07-20;2024-07-21
MOXY Frankfurt East;Ostend, Frankfurt;71.0;EUR;8.2;2024-07-20;2024-07-21
Meliá Frankfurt City;Westend, Frankfurt;139.0;EUR;8.5;2024-07-20;2024-07-21
Motel One Frankfurt Airport;Niederrad, Frankfurt;73.0;EUR;8.3;2024-07-20;2024-07-21
Motel One Frankfurt Messe;Gallusviertel, Frankfurt;93.0;EUR;8.5;2024-07-20;2024-07-21
Moxy Frankfurt City Center;Frankfurt City Center (Old Town), Frankfurt;102.0;EUR;8.1;2024-07-20;2024-07-21
NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;118.0;EUR;8.7;2024-07-20;2024-07-21
Premier Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;69.0;EUR;8.4;2024-07-20;2024-07-21
Premier Inn Frankfurt City Europaviertel;Gallusviertel, Frankfurt;62.0;EUR;8.2;2024-07-20;2024-07-21
Premier Inn Frankfurt Westend;Westend, Frankfurt;62.0;EUR;8.7;2024-07-20;2024-07-21
Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;116.0;EUR;8.2;2024-07-20;2024-07-21
Scandic Frankfurt Hafenpark;Ostend, Frankfurt;77.0;EUR;8.7;2024-07-20;2024-07-21
Scandic Frankfurt Museumsufer;Bahnhofsviertel, Frankfurt;103.0;EUR;8.5;2024-07-20;2024-07-21
the niu Charly;Bahnhofsviertel, Frankfurt;74.0;EUR;8.2;2024-07-20;2024-07-21
