name;location;price;currency;rating;checkin_date;checkout_date
Avani Frankfurt City Hotel - previously NH Collection Frankfurt City;Frankfurt City Center (Old Town), Frankfurt;110.0;EUR;8.3;2024-07-24;2024-07-25
Best Western Plus Welcome Hotel Frankfurt;Bockenheim, Frankfurt;72.0;EUR;8.0;2024-07-24;2024-07-25
Citadines City Centre Frankfurt;Gallusviertel, Frankfurt;85.0;EUR;8.6;2024-07-24;2024-07-25
DORMERO Hotel Frankfurt;Gallusviertel, Frankfurt;60.0;EUR;7.6;2024-07-24;2024-07-25
Europa Style;Gutleutviertel, Frankfurt;109.0;EUR;8.4;2024-07-24;2024-07-25
Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;113.0;EUR;8.0;2024-07-24;2024-07-25
Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;146.0;EUR;8.3;2024-07-24;2024-07-25
Hotel Düsseldorfer Hof;Frankfurt;48.0;EUR;6.7;2024-07-24;2024-07-25
Hotel Europa Life;Gutleutviertel, Frankfurt;83.0;EUR;8.3;2024-07-24;2024-07-25
Hyatt Place Frankfurt Airport;Frankfurt Airport Area, Frankfurt;106.0;EUR;8.4;2024-07-24;2024-07-25
INNSiDE by Meliá Frankfurt Eurotheum;Frankfurt City Center (Old Town), Frankfurt;166.0;EUR;7.9;2024-07-24;2024-07-25
Leonardo Hotel Frankfurt City Center;Bahnhofsviertel, Frankfurt;58.0;EUR;7.6;2024-07-24;2024-07-25
MOXY Frankfurt East;Ostend, Frankfurt;71.0;EUR;8.2;2024-07-24;2024-07-25
Maingau Hotel;Sachsenhausen, Frankfurt;81.0;EUR;7.9;2024-07-24;2024-07-25
Meliá Frankfurt City;Westend, Frankfurt;139.0;EUR;8.5;2024-07-24;2024-07-25
Motel One Frankfurt Messe;Gallusviertel, Frankfurt;93.0;EUR;8.5;2024-07-24;2024-07-25
NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;118.0;EUR;8.7;2024-07-24;2024-07-25
Park Inn by Radisson Frankfurt Airport;Frankfurt Airport Area, Frankfurt;96.0;EUR;8.0;2024-07-24;2024-07-25
Pearl Design Hotel - Frankfurt City;Gutleutviertel, Frankfurt;73.0;EUR;7.6;2024-07-24;2024-07-25
Premier Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;65.0;EUR;8.4;2024-07-24;2024-07-25
Premier Inn Frankfurt City Europaviertel;Gallusviertel, Frankfurt;62.0;EUR;8.2;2024-07-24;2024-07-25
Premier Inn Frankfurt Westend;Westend, Frankfurt;60.0;EUR;8.7;2024-07-24;2024-07-25
Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;114.0;EUR;8.2;2024-07-24;2024-07-25
Residence Inn by Marriott Frankfurt City Center;Frankfurt City Center (Old Town), Frankfurt;133.0;EUR;8.0;2024-07-24;2024-07-25
Scandic Frankfurt Museumsufer;Bahnhofsviertel, Frankfurt;98.0;EUR;8.5;2024-07-24;2024-07-25
Villa Westend Hotel an der Messe;Westend, Frankfurt;98.0;EUR;7.9;2024-07-24;2024-07-25
