name;location;price;currency;rating;checkin_date;checkout_date
Avani Frankfurt City Hotel - previously NH Collection Frankfurt City;Frankfurt City Center (Old Town), Frankfurt;116.0;EUR;8.3;2024-07-17;2024-07-18
Best Western Plus Welcome Hotel Frankfurt;Bockenheim, Frankfurt;72.0;EUR;8.0;2024-07-17;2024-07-18
DORMERO Hotel Frankfurt;Gallusviertel, Frankfurt;60.0;EUR;7.6;2024-07-17;2024-07-18
Europa Style;Gutleutviertel, Frankfurt;112.0;EUR;8.4;2024-07-17;2024-07-18
Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;113.0;EUR;8.0;2024-07-17;2024-07-18
Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;148.0;EUR;8.3;2024-07-17;2024-07-18
Hampton By Hilton Frankfurt City Centre East;Ostend, Frankfurt;93.0;EUR;8.4;2024-07-17;2024-07-18
Hampton by Hilton Frankfurt City Centre;Gallusviertel, Frankfurt;88.0;EUR;8.3;2024-07-17;2024-07-18
Holiday Inn Frankfurt - Alte Oper, an IHG Hotel;Bahnhofsviertel, Frankfurt;101.0;EUR;8.3;2024-07-17;2024-07-18
Homaris Apartments Frankfurt - Digital Check-In;Frankfurt City Center (Old Town), Frankfurt;81.0;EUR;8.1;2024-07-17;2024-07-18
Hotel Düsseldorfer Hof;Frankfurt;48.0;EUR;6.7;2024-07-17;2024-07-18
Hotel Europa Life;Gutleutviertel, Frankfurt;78.0;EUR;8.3;2024-07-17;2024-07-18
Leonardo Hotel Frankfurt City Center;Bahnhofsviertel, Frankfurt;60.0;EUR;7.6;2024-07-17;2024-07-18
Maingau Hotel;Sachsenhausen, Frankfurt;81.0;EUR;7.9;2024-07-17;2024-07-18
Meliá Frankfurt City;Westend, Frankfurt;139.0;EUR;8.5;2024-07-17;2024-07-18
Motel One Frankfurt Messe;Gallusviertel, Frankfurt;93.0;EUR;8.5;2024-07-17;2024-07-18
NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;118.0;EUR;8.7;2024-07-17;2024-07-18
Park Inn by Radisson Frankfurt Airport;Frankfurt Airport Area, Frankfurt;96.0;EUR;8.0;2024-07-17;2024-07-18
Premier Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;68.0;EUR;8.4;2024-07-17;2024-07-18
Premier Inn Frankfurt City Europaviertel;Gallusviertel, Frankfurt;68.0;EUR;8.2;2024-07-17;2024-07-18
Premier Inn Frankfurt Westend;Westend, Frankfurt;64.0;EUR;8.7;2024-07-17;2024-07-18
Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;116.0;EUR;8.2;2024-07-17;2024-07-18
Residence Inn by Marriott Frankfurt City Center;Frankfurt City Center (Old Town), Frankfurt;133.0;EUR;8.0;2024-07-17;2024-07-18
Scandic Frankfurt Museumsufer;Bahnhofsviertel, Frankfurt;99.0;EUR;8.5;2024-07-17;2024-07-18
Villa Westend Hotel an der Messe;Westend, Frankfurt;90.0;EUR;7.9;2024-07-17;2024-07-18
the niu Charly;Bahnhofsviertel, Frankfurt;80.0;EUR;8.2;2024-07-17;2024-07-18
