date_scraped;name;location;price;currency;rating;checkin_date;checkout_date
2024_05_31;Avani Frankfurt City Hotel - previously NH Collection Frankfurt City;Frankfurt City Center (Old Town), Frankfurt;103.0;EUR;8.3;2024-07-27;2024-07-28
2024_05_31;Best Western Plus Welcome Hotel Frankfurt;Bockenheim, Frankfurt;68.0;EUR;8.0;2024-07-27;2024-07-28
2024_05_31;Citadines City Centre Frankfurt;Gallusviertel, Frankfurt;86.0;EUR;8.6;2024-07-27;2024-07-28
2024_05_31;DORMERO Hotel Frankfurt;Gallusviertel, Frankfurt;64.0;EUR;7.6;2024-07-27;2024-07-28
2024_05_31;Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;102.0;EUR;8.0;2024-07-27;2024-07-28
2024_05_31;Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;164.0;EUR;8.3;2024-07-27;2024-07-28
2024_05_31;Frankfurt Marriott Hotel;Westend, Frankfurt;115.0;EUR;8.3;2024-07-27;2024-07-28
2024_05_31;Hampton By Hilton Frankfurt City Centre East;Ostend, Frankfurt;95.0;EUR;8.4;2024-07-27;2024-07-28
2024_05_31;Hilton Garden Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;99.0;EUR;7.9;2024-07-27;2024-07-28
2024_05_31;Holiday Inn Frankfurt - Alte Oper, an IHG Hotel;Bahnhofsviertel, Frankfurt;94.0;EUR;8.3;2024-07-27;2024-07-28
2024_05_31;Hotel Europa Life;Gutleutviertel, Frankfurt;97.0;EUR;8.3;2024-07-27;2024-07-28
2024_05_31;INNSiDE by Meliá Frankfurt Eurotheum;Frankfurt City Center (Old Town), Frankfurt;187.0;EUR;7.9;2024-07-27;2024-07-28
2024_05_31;LUME Boutique Hotel, Autograph Collection;Bahnhofsviertel, Frankfurt;118.0;EUR;8.6;2024-07-27;2024-07-28
2024_05_31;MOXY Frankfurt East;Ostend, Frankfurt;71.0;EUR;8.2;2024-07-27;2024-07-28
2024_05_31;Maritim Hotel Frankfurt;Westend, Frankfurt;88.0;EUR;7.7;2024-07-27;2024-07-28
2024_05_31;Meliá Frankfurt City;Westend, Frankfurt;173.0;EUR;8.5;2024-07-27;2024-07-28
2024_05_31;Motel One Frankfurt Messe;Gallusviertel, Frankfurt;93.0;EUR;8.5;2024-07-27;2024-07-28
2024_05_31;Moxy Frankfurt City Center;Frankfurt City Center (Old Town), Frankfurt;111.0;EUR;8.1;2024-07-27;2024-07-28
2024_05_31;NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;118.0;EUR;8.7;2024-07-27;2024-07-28
2024_05_31;Premier Inn Frankfurt Westend;Westend, Frankfurt;74.0;EUR;8.7;2024-07-27;2024-07-28
2024_05_31;Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;114.0;EUR;8.2;2024-07-27;2024-07-28
2024_05_31;Scandic Frankfurt Hafenpark;Ostend, Frankfurt;77.0;EUR;8.7;2024-07-27;2024-07-28
2024_05_31;Scandic Frankfurt Museumsufer;Bahnhofsviertel, Frankfurt;108.0;EUR;8.5;2024-07-27;2024-07-28
2024_05_31;THE FLAG West M.;Westend, Frankfurt;139.0;EUR;8.3;2024-07-27;2024-07-28
2024_05_31;Villa Westend Hotel an der Messe;Westend, Frankfurt;98.0;EUR;7.9;2024-07-27;2024-07-28
2024_05_31;the niu Charly;Bahnhofsviertel, Frankfurt;86.0;EUR;8.2;2024-07-27;2024-07-28
