name;location;price;currency;rating;checkin_date;checkout_date
Avani Frankfurt City Hotel - previously NH Collection Frankfurt City;Frankfurt City Center (Old Town), Frankfurt;184.0;EUR;8.3;2024-07-06;2024-07-07
B&B HOTEL Frankfurt-Hbf;Gallusviertel, Frankfurt;104.0;EUR;7.9;2024-07-06;2024-07-07
Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;115.0;EUR;8.0;2024-07-06;2024-07-07
Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;199.0;EUR;8.3;2024-07-06;2024-07-07
Hilton Garden Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;158.0;EUR;7.9;2024-07-06;2024-07-07
Hotel Monopol - Central Station;Gutleutviertel, Frankfurt;112.0;EUR;7.3;2024-07-06;2024-07-07
Hyatt Place Frankfurt Airport;Frankfurt Airport Area, Frankfurt;135.0;EUR;8.4;2024-07-06;2024-07-07
INNSiDE by Meliá Frankfurt Eurotheum;Frankfurt City Center (Old Town), Frankfurt;253.0;EUR;7.9;2024-07-06;2024-07-07
LUME Boutique Hotel, Autograph Collection;Bahnhofsviertel, Frankfurt;195.0;EUR;8.6;2024-07-06;2024-07-07
Lindley Lindenberg;Ostend, Frankfurt;216.0;EUR;8.3;2024-07-06;2024-07-07
Maritim Hotel Frankfurt;Westend, Frankfurt;128.0;EUR;7.7;2024-07-06;2024-07-07
Meliá Frankfurt City;Westend, Frankfurt;170.0;EUR;8.5;2024-07-06;2024-07-07
Motel One Frankfurt Messe;Gallusviertel, Frankfurt;143.0;EUR;8.5;2024-07-06;2024-07-07
Motel One Frankfurt-Römer;Frankfurt City Center (Old Town), Frankfurt;153.0;EUR;8.5;2024-07-06;2024-07-07
Moxy Frankfurt City Center;Frankfurt City Center (Old Town), Frankfurt;156.0;EUR;8.1;2024-07-06;2024-07-07
Mövenpick Hotel Frankfurt City Messe;Gallusviertel, Frankfurt;143.0;EUR;7.8;2024-07-06;2024-07-07
NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;149.0;EUR;8.7;2024-07-06;2024-07-07
Park Inn by Radisson Frankfurt Airport;Frankfurt Airport Area, Frankfurt;128.0;EUR;8.0;2024-07-06;2024-07-07
Plaza Hotel & Living Frankfurt;Ostend, Frankfurt;132.0;EUR;7.0;2024-07-06;2024-07-07
Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;148.0;EUR;8.2;2024-07-06;2024-07-07
Scandic Frankfurt Hafenpark;Ostend, Frankfurt;122.0;EUR;8.7;2024-07-06;2024-07-07
Sheraton Frankfurt Airport Hotel & Conference Center;Frankfurt Airport Area, Frankfurt;150.0;EUR;8.0;2024-07-06;2024-07-07
The Westin Grand Frankfurt;Frankfurt City Center (Old Town), Frankfurt;219.0;EUR;8.6;2024-07-06;2024-07-07
Villa Westend Hotel an der Messe;Westend, Frankfurt;215.0;EUR;7.9;2024-07-06;2024-07-07
nhow Frankfurt;Frankfurt;144.0;EUR;8.8;2024-07-06;2024-07-07
the niu Charly;Bahnhofsviertel, Frankfurt;213.0;EUR;8.2;2024-07-06;2024-07-07
