name;location;price;currency;rating;checkin_date;checkout_date
Adler Hotel Frankfurt;Bahnhofsviertel, Frankfurt;79.0;EUR;7.9;2024-07-16;2024-07-17
Avani Frankfurt City Hotel - previously NH Collection Frankfurt City;Frankfurt City Center (Old Town), Frankfurt;110.0;EUR;8.3;2024-07-16;2024-07-17
Best Western Plus Welcome Hotel Frankfurt;Bockenheim, Frankfurt;72.0;EUR;8.0;2024-07-16;2024-07-17
Citadines City Centre Frankfurt;Gallusviertel, Frankfurt;86.0;EUR;8.6;2024-07-16;2024-07-17
Comfort Hotel Frankfurt Central Station;Bahnhofsviertel, Frankfurt;56.0;EUR;7.0;2024-07-16;2024-07-17
DORMERO Hotel Frankfurt;Gallusviertel, Frankfurt;64.0;EUR;7.6;2024-07-16;2024-07-17
Europa Style;Gutleutviertel, Frankfurt;112.0;EUR;8.4;2024-07-16;2024-07-17
Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;110.0;EUR;8.0;2024-07-16;2024-07-17
Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;147.0;EUR;8.3;2024-07-16;2024-07-17
Hampton By Hilton Frankfurt City Centre East;Ostend, Frankfurt;88.0;EUR;8.4;2024-07-16;2024-07-17
Holiday Inn Frankfurt - Alte Oper, an IHG Hotel;Bahnhofsviertel, Frankfurt;97.0;EUR;8.3;2024-07-16;2024-07-17
Hotel Düsseldorfer Hof;Frankfurt;48.0;EUR;6.7;2024-07-16;2024-07-17
Hotel Europa Life;Gutleutviertel, Frankfurt;78.0;EUR;8.3;2024-07-16;2024-07-17
Leonardo Hotel Frankfurt City Center;Bahnhofsviertel, Frankfurt;57.0;EUR;7.6;2024-07-16;2024-07-17
Meliá Frankfurt City;Westend, Frankfurt;139.0;EUR;8.5;2024-07-16;2024-07-17
Motel One Frankfurt Messe;Gallusviertel, Frankfurt;93.0;EUR;8.5;2024-07-16;2024-07-17
NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;118.0;EUR;8.7;2024-07-16;2024-07-17
Park Inn by Radisson Frankfurt Airport;Frankfurt Airport Area, Frankfurt;96.0;EUR;8.0;2024-07-16;2024-07-17
Pearl Design Hotel - Frankfurt City;Gutleutviertel, Frankfurt;94.0;EUR;7.6;2024-07-16;2024-07-17
Premier Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;64.0;EUR;8.4;2024-07-16;2024-07-17
Premier Inn Frankfurt City Europaviertel;Gallusviertel, Frankfurt;63.0;EUR;8.2;2024-07-16;2024-07-17
Premier Inn Frankfurt Westend;Westend, Frankfurt;62.0;EUR;8.7;2024-07-16;2024-07-17
Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;116.0;EUR;8.2;2024-07-16;2024-07-17
Residence Inn by Marriott Frankfurt City Center;Frankfurt City Center (Old Town), Frankfurt;133.0;EUR;8.0;2024-07-16;2024-07-17
Scandic Frankfurt Museumsufer;Bahnhofsviertel, Frankfurt;99.0;EUR;8.5;2024-07-16;2024-07-17
the niu Charly;Bahnhofsviertel, Frankfurt;86.0;EUR;8.2;2024-07-16;2024-07-17
