date_scraped;name;location;price;currency;rating;checkin_date;checkout_date
2024_05_31;25hours Hotel The Trip;Bahnhofsviertel, Frankfurt;192.0;EUR;7.9;01/07/2024;02/07/2024
2024_05_31;Dorint Main Taunus Frankfurt/Sulzbach;Frankfurt;156.0;EUR;7.7;01/07/2024;02/07/2024
2024_05_31;Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;255.0;EUR;8.0;01/07/2024;02/07/2024
2024_05_31;Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;379.0;EUR;8.3;01/07/2024;02/07/2024
2024_05_31;H4 Hotel Frankfurt Messe;Frankfurt;243.0;EUR;8.1;01/07/2024;02/07/2024
2024_05_31;Hampton By Hilton Frankfurt City Centre East;Ostend, Frankfurt;215.0;EUR;8.4;01/07/2024;02/07/2024
2024_05_31;Holiday Inn Frankfurt - Alte Oper, an IHG Hotel;Bahnhofsviertel, Frankfurt;239.0;EUR;8.3;01/07/2024;02/07/2024
2024_05_31;Hotel Frankfurt Messe Affiliated by Meliá;Bockenheim, Frankfurt;283.0;EUR;7.8;01/07/2024;02/07/2024
2024_05_31;INNSiDE by Meliá Frankfurt Eurotheum;Frankfurt City Center (Old Town), Frankfurt;459.0;EUR;7.9;01/07/2024;02/07/2024
2024_05_31;INNSiDE by Meliá Frankfurt Ostend;Ostend, Frankfurt;279.0;EUR;8.6;01/07/2024;02/07/2024
2024_05_31;Lindley Lindenberg;Ostend, Frankfurt;339.0;EUR;8.3;01/07/2024;02/07/2024
2024_05_31;Motel One Frankfurt Airport;Niederrad, Frankfurt;223.0;EUR;8.3;01/07/2024;02/07/2024
2024_05_31;Motel One Frankfurt Messe;Gallusviertel, Frankfurt;243.0;EUR;8.5;01/07/2024;02/07/2024
2024_05_31;Moxy Frankfurt City Center;Frankfurt City Center (Old Town), Frankfurt;283.0;EUR;8.1;01/07/2024;02/07/2024
2024_05_31;Mövenpick Hotel Frankfurt City Messe;Gallusviertel, Frankfurt;283.0;EUR;7.8;01/07/2024;02/07/2024
2024_05_31;NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;218.0;EUR;8.7;01/07/2024;02/07/2024
2024_05_31;NH Frankfurt Messe;Westend, Frankfurt;239.0;EUR;8.3;01/07/2024;02/07/2024
2024_05_31;Park Inn by Radisson Frankfurt Airport;Frankfurt Airport Area, Frankfurt;168.0;EUR;8.0;01/07/2024;02/07/2024
2024_05_31;Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;258.0;EUR;8.2;01/07/2024;02/07/2024
2024_05_31;Scandic Frankfurt Museumsufer;Bahnhofsviertel, Frankfurt;228.0;EUR;8.5;01/07/2024;02/07/2024
2024_05_31;Sheraton Frankfurt Airport Hotel & Conference Center;Frankfurt Airport Area, Frankfurt;216.0;EUR;8.0;01/07/2024;02/07/2024
2024_05_31;Staycity Aparthotels Frankfurt Airport;Frankfurt Airport Area, Frankfurt;157.0;EUR;8.6;01/07/2024;02/07/2024
2024_05_31;THE FLAG West M.;Westend, Frankfurt;433.0;EUR;8.3;01/07/2024;02/07/2024
2024_05_31;Turm Hotel;Nordend, Frankfurt;229.0;EUR;8.1;01/07/2024;02/07/2024
2024_05_31;Villa Westend Hotel an der Messe;Westend, Frankfurt;292.0;EUR;7.9;01/07/2024;02/07/2024
2024_05_31;the niu Charly;Bahnhofsviertel, Frankfurt;214.0;EUR;8.2;01/07/2024;02/07/2024
